task_id	pallet_id	pallet_x	pallet_y	station_x	station_y	reload_x	reload_y
0	316	19	9	41	10	2	6
1	87	7	32	41	27	2	4
2	480	27	21	41	18	2	9
3	146	10	21	41	26	2	24
4	236	15	21	41	2	2	4
5	48	6	6	41	12	2	15
6	656	35	21	41	26	2	3
7	379	22	5	41	28	2	28
8	452	25	15	41	2	2	11
9	451	25	14	41	23	2	5
10	244	16	0	41	12	2	13
11	591	32	23	41	27	2	6
12	376	22	0	41	15	2	20
13	520	29	15	41	10	2	30
14	427	24	11	41	25	2	4
15	361	21	11	41	12	2	3
16	82	7	24	41	27	2	8
17	573	31	29	41	24	2	1
18	73	7	11	41	29	2	26
19	327	19	26	41	27	2	3
20	165	11	17	41	9	2	5
21	603	33	8	41	16	2	25
22	368	21	21	41	17	2	27
23	440	24	30	41	10	2	1
24	575	31	32	41	7	2	6
25	481	27	23	41	29	2	2
26	370	21	24	41	21	2	17
27	323	19	20	41	1	2	5
28	405	23	11	41	28	2	10
29	563	31	14	41	23	2	17
30	116	9	9	41	6	2	26
31	643	35	2	41	30	2	29
32	567	31	20	41	14	2	10
33	267	17	2	41	7	2	17
34	691	37	8	41	20	2	10
35	485	27	29	41	7	2	19
36	585	32	14	41	31	2	20
37	598	33	0	41	18	2	6
38	386	22	15	41	5	2	14
39	159	11	8	41	5	2	9
40	239	15	26	41	13	2	14
41	411	23	20	41	6	2	23
42	392	22	24	41	20	2	7
43	385	22	14	41	24	2	30
44	498	28	15	41	9	2	14
45	636	34	24	41	25	2	24
46	597	32	32	41	21	2	0
47	367	21	20	41	7	2	20
48	255	16	17	41	27	2	26
49	495	28	11	41	12	2	9
50	362	21	12	41	8	2	5
51	523	29	20	41	2	2	22
52	103	8	23	41	22	2	23
53	398	23	0	41	3	2	21
54	587	32	17	41	28	2	24
55	669	36	8	41	13	2	21
56	23	5	2	41	30	2	1
57	93	8	8	41	9	2	29
58	36	5	21	41	16	2	30
59	19	4	29	41	17	2	1
60	477	27	17	41	5	2	29
61	150	10	27	41	10	2	3
62	606	33	12	41	6	2	25
63	537	30	8	41	17	2	9
64	566	31	18	41	8	2	22
65	654	35	18	41	15	2	24
66	314	19	6	41	12	2	10
67	71	7	8	41	21	2	12
